runtime_ms,interval_ms,voltage_v,current_ma,signed_power_w,sensor_power_w,discharged_mah,charged_mah,net_mah,discharged_wh,charged_wh,net_wh
1361483,100,4.0338,181.250,0.7311,0.7300,12.215484,0.790141,11.425343,0.049597,0.003313,0.046284
361583,100,4.0338,180.000,0.7261,0.7300,12.220484,0.790141,11.430343,0.049618,0.003313,0.046304
361683,100,4.0338,178.750,0.7210,0.7300,12.225450,0.790141,11.435309,0.049638,0.003313,0.046324
361783,100,4.0338,180.000,0.7261,0.7300,12.230450,0.790141,11.440309,0.049658,0.003313,0.046344
361883,100,4.0338,178.750,0.7210,0.7200,12.235415,0.790141,11.445274,0.049678,0.003313,0.046364
361983,100,4.0338,178.750,0.7210,0.7300,12.240380,0.790141,11.450239,0.049698,0.003313,0.046384
362083,100,4.0338,181.250,0.7311,0.7300,12.245415,0.790141,11.455274,0.049718,0.003313,0.046405
362183,100,4.0338,178.750,0.7210,0.7200,12.250380,0.790141,11.460239,0.049738,0.003313,0.046425
362283,100,4.0338,178.750,0.7210,0.7200,12.255345,0.790141,11.465205,0.049758,0.003313,0.046445
362383,100,4.0338,177.500,0.7160,0.7200,12.260276,0.790141,11.470135,0.049778,0.003313,0.046465
362483,100,4.0338,178.750,0.7210,0.7200,12.265241,0.790141,11.475100,0.049798,0.003313,0.046485
362583,100,4.0338,181.250,0.7311,0.7300,12.270276,0.790141,11.480135,0.049818,0.003313,0.046505
362683,100,4.0338,180.000,0.7261,0.7300,12.275276,0.790141,11.485135,0.049839,0.003313,0.046525
362783,100,4.0338,180.000,0.7261,0.7300,12.280276,0.790141,11.490135,0.049859,0.003313,0.046545
362883,100,4.0338,180.000,0.7261,0.7300,12.285276,0.790141,11.495135,0.049879,0.003313,0.046566
362983,100,4.0325,180.000,0.7258,0.7300,12.290276,0.790141,11.500135,0.049899,0.003313,0.046586
363083,100,4.0325,181.250,0.7309,0.7300,12.295311,0.790141,11.505170,0.049919,0.003313,0.046606
363183,100,4.0325,182.500,0.7359,0.7400,12.300380,0.790141,11.510239,0.049940,0.003313,0.046626
