segment_id,pattern_id,pattern_name,brightness,start_host_iso,end_host_iso,start_runtime_ms,end_runtime_ms,start_line_index,end_line_index,status
seg_001_p01_b095,1,rainbow,95,2026-05-28T04:17:31.739Z,2026-05-28T04:17:36.989Z,366860,372147,53,104,ok
seg_002_p01_b127,1,rainbow,127,2026-05-28T04:17:38.130Z,2026-05-28T04:17:43.377Z,373306,378492,116,166,ok
seg_003_p01_b159,1,rainbow,159,2026-05-28T04:17:44.522Z,2026-05-28T04:17:49.769Z,379626,384955,178,230,ok
seg_004_p01_b191,1,rainbow,191,2026-05-28T04:17:50.896Z,2026-05-28T04:17:56.144Z,386060,391273,241,292,ok
seg_005_p01_b223,1,rainbow,223,2026-05-28T04:17:57.273Z,2026-05-28T04:18:02.523Z,392461,397676,304,354,ok
seg_006_p01_b255,1,rainbow,255,2026-05-28T04:18:03.660Z,2026-05-28T04:18:08.899Z,398832,404002,366,416,ok
seg_007_p02_b095,2,full_color,95,2026-05-28T04:18:10.023Z,2026-05-28T04:18:15.279Z,405126,410463,428,480,ok
seg_008_p02_b127,2,full_color,127,2026-05-28T04:18:16.405Z,2026-05-28T04:18:21.652Z,411591,416814,491,542,ok
seg_009_p02_b159,2,full_color,159,2026-05-28T04:18:22.755Z,2026-05-28T04:18:28.002Z,417899,423103,553,603,ok
seg_010_p02_b191,2,full_color,191,2026-05-28T04:18:29.133Z,2026-05-28T04:18:34.384Z,424252,429571,615,664,ok
seg_011_p02_b223,2,full_color,223,2026-05-28T04:18:35.525Z,2026-05-28T04:18:40.760Z,430682,435905,676,727,ok
seg_012_p02_b255,2,full_color,255,2026-05-28T04:18:41.881Z,2026-05-28T04:18:47.059Z,436984,442184,738,789,ok
seg_013_p03_b095,3,motion_brightness,95,2026-05-28T04:18:48.159Z,2026-05-28T04:18:53.398Z,443334,448511,801,851,ok
seg_014_p03_b127,3,motion_brightness,127,2026-05-28T04:18:54.573Z,2026-05-28T04:18:59.817Z,449749,454999,864,915,ok
seg_015_p03_b159,3,motion_brightness,159,2026-05-28T04:19:00.931Z,2026-05-28T04:19:06.181Z,456106,461317,927,978,ok
seg_016_p03_b191,3,motion_brightness,191,2026-05-28T04:19:07.323Z,2026-05-28T04:19:12.559Z,462497,467697,990,1041,ok
seg_017_p03_b223,3,motion_brightness,223,2026-05-28T04:19:13.681Z,2026-05-28T04:19:18.930Z,468859,474033,1053,1103,ok
seg_018_p03_b255,3,motion_brightness,255,2026-05-28T04:19:20.062Z,2026-05-28T04:19:25.310Z,475165,480410,1115,1166,ok
seg_019_p04_b095,4,runner_fixed,95,2026-05-28T04:19:26.442Z,2026-05-28T04:19:31.690Z,481627,486861,1179,1230,ok
seg_020_p04_b127,4,runner_fixed,127,2026-05-28T04:19:32.823Z,2026-05-28T04:19:38.073Z,487950,493252,1241,1293,ok
seg_021_p04_b159,4,runner_fixed,159,2026-05-28T04:19:39.217Z,2026-05-28T04:19:44.466Z,494409,499577,1305,1355,ok
seg_022_p04_b191,4,runner_fixed,191,2026-05-28T04:19:45.603Z,2026-05-28T04:19:50.852Z,500725,505980,1367,1418,ok
seg_023_p04_b223,4,runner_fixed,223,2026-05-28T04:19:51.994Z,2026-05-28T04:19:57.244Z,507091,512411,1430,1482,ok
seg_024_p04_b255,4,runner_fixed,255,2026-05-28T04:19:58.381Z,2026-05-28T04:20:03.609Z,513494,518774,1493,1544,ok
seg_025_p05_b095,5,runner_reactive,95,2026-05-28T04:20:04.744Z,2026-05-28T04:20:09.994Z,519839,525120,1555,1606,ok
seg_026_p05_b127,5,runner_reactive,127,2026-05-28T04:20:11.132Z,2026-05-28T04:20:16.382Z,526257,531503,1618,1669,ok
seg_027_p05_b159,5,runner_reactive,159,2026-05-28T04:20:17.548Z,2026-05-28T04:20:22.798Z,532706,537924,1682,1733,ok
seg_028_p05_b191,5,runner_reactive,191,2026-05-28T04:20:23.944Z,2026-05-28T04:20:29.189Z,539111,544308,1745,1794,ok
seg_029_p05_b223,5,runner_reactive,223,2026-05-28T04:20:30.305Z,2026-05-28T04:20:35.554Z,545466,550737,1806,1857,ok
seg_030_p05_b255,5,runner_reactive,255,2026-05-28T04:20:36.696Z,2026-05-28T04:20:41.945Z,551868,557120,1869,1920,ok
seg_031_p06_b095,6,runner_dual,95,2026-05-28T04:20:43.086Z,2026-05-28T04:20:48.336Z,558237,563467,1932,1983,ok
seg_032_p06_b127,6,runner_dual,127,2026-05-28T04:20:49.473Z,2026-05-28T04:20:54.723Z,564654,569850,1995,2045,ok
seg_033_p06_b159,6,runner_dual,159,2026-05-28T04:20:55.868Z,2026-05-28T04:21:01.116Z,571050,576250,2058,2109,ok
seg_034_p06_b191,6,runner_dual,191,2026-05-28T04:21:02.250Z,2026-05-28T04:21:07.468Z,577350,582650,2121,2173,ok
seg_035_p06_b223,6,runner_dual,223,2026-05-28T04:21:08.578Z,2026-05-28T04:21:13.828Z,583750,588950,2185,2236,ok
seg_036_p06_b255,6,runner_dual,255,2026-05-28T04:21:14.944Z,2026-05-28T04:21:20.184Z,590050,595350,2248,2300,ok
seg_037_p07_b095,7,heartbeat,95,2026-05-28T04:21:21.303Z,2026-05-28T04:21:26.549Z,596450,601650,2312,2363,ok
seg_038_p07_b127,7,heartbeat,127,2026-05-28T04:21:27.670Z,2026-05-28T04:21:32.919Z,602850,608050,2376,2427,ok
seg_039_p07_b159,7,heartbeat,159,2026-05-28T04:21:34.039Z,2026-05-28T04:21:39.286Z,609150,614450,2439,2491,ok
seg_040_p07_b191,7,heartbeat,191,2026-05-28T04:21:40.404Z,2026-05-28T04:21:45.626Z,615550,620750,2503,2554,ok
seg_041_p07_b223,7,heartbeat,223,2026-05-28T04:21:46.697Z,2026-05-28T04:21:51.938Z,621850,627050,2566,2617,ok
seg_042_p07_b255,7,heartbeat,255,2026-05-28T04:21:53.074Z,2026-05-28T04:21:58.324Z,628250,633450,2630,2681,ok
seg_043_p08_b095,8,ping_pong,95,2026-05-28T04:21:59.446Z,2026-05-28T04:22:04.648Z,634550,639750,2693,2744,ok
seg_044_p08_b127,8,ping_pong,127,2026-05-28T04:22:05.766Z,2026-05-28T04:22:11.015Z,640950,646150,2757,2808,ok
seg_045_p08_b159,8,ping_pong,159,2026-05-28T04:22:12.156Z,2026-05-28T04:22:17.404Z,647250,652550,2820,2872,ok
seg_046_p08_b191,8,ping_pong,191,2026-05-28T04:22:18.544Z,2026-05-28T04:22:23.789Z,653650,658950,2884,2936,ok
seg_047_p08_b223,8,ping_pong,223,2026-05-28T04:22:24.907Z,2026-05-28T04:22:30.157Z,660050,665250,2948,2999,ok
seg_048_p08_b255,8,ping_pong,255,2026-05-28T04:22:31.282Z,2026-05-28T04:22:36.534Z,666450,671650,3012,3063,ok
seg_049_p09_b095,9,comet_swarm,95,2026-05-28T04:22:37.661Z,2026-05-28T04:22:42.913Z,672750,678050,3075,3127,ok
seg_050_p09_b127,9,comet_swarm,127,2026-05-28T04:22:44.050Z,2026-05-28T04:22:49.297Z,679150,684450,3139,3191,ok
seg_051_p09_b159,9,comet_swarm,159,2026-05-28T04:22:50.388Z,2026-05-28T04:22:55.635Z,685550,690750,3203,3254,ok
seg_052_p09_b191,9,comet_swarm,191,2026-05-28T04:22:56.779Z,2026-05-28T04:23:02.028Z,691950,697150,3267,3318,ok
seg_053_p09_b223,9,comet_swarm,223,2026-05-28T04:23:03.165Z,2026-05-28T04:23:08.416Z,698250,703550,3330,3382,ok
seg_054_p09_b255,9,comet_swarm,255,2026-05-28T04:23:09.553Z,2026-05-28T04:23:14.803Z,704650,709950,3394,3446,ok
seg_055_p10_b095,10,breath_storm,95,2026-05-28T04:23:15.943Z,2026-05-28T04:23:21.191Z,711050,716350,3458,3510,ok
seg_056_p10_b127,10,breath_storm,127,2026-05-28T04:23:22.337Z,2026-05-28T04:23:27.587Z,717450,722750,3522,3574,ok
seg_057_p10_b159,10,breath_storm,159,2026-05-28T04:23:28.729Z,2026-05-28T04:23:33.979Z,723850,729150,3586,3638,ok
seg_058_p10_b191,10,breath_storm,191,2026-05-28T04:23:35.118Z,2026-05-28T04:23:40.367Z,730250,735450,3650,3701,ok
seg_059_p10_b223,10,breath_storm,223,2026-05-28T04:23:41.537Z,2026-05-28T04:23:46.782Z,736650,741950,3714,3766,ok
seg_060_p10_b255,10,breath_storm,255,2026-05-28T04:23:47.930Z,2026-05-28T04:23:53.179Z,743050,748350,3778,3830,ok
seg_061_p11_b095,11,jerk_wave,95,2026-05-28T04:23:54.306Z,2026-05-28T04:23:59.550Z,749450,754650,3842,3893,ok
seg_062_p11_b127,11,jerk_wave,127,2026-05-28T04:24:00.679Z,2026-05-28T04:24:05.929Z,755850,761050,3906,3957,ok
seg_063_p11_b159,11,jerk_wave,159,2026-05-28T04:24:07.066Z,2026-05-28T04:24:12.304Z,762150,767450,3969,4021,ok
seg_064_p11_b191,11,jerk_wave,191,2026-05-28T04:24:13.429Z,2026-05-28T04:24:18.681Z,768550,773850,4033,4085,ok
seg_065_p11_b223,11,jerk_wave,223,2026-05-28T04:24:19.814Z,2026-05-28T04:24:25.054Z,774950,780150,4097,4148,ok
seg_066_p11_b255,11,jerk_wave,255,2026-05-28T04:24:26.171Z,2026-05-28T04:24:31.421Z,781250,786550,4160,4212,ok
seg_067_p12_b095,12,yaw_spinner,95,2026-05-28T04:24:32.534Z,2026-05-28T04:24:37.781Z,787650,792950,4224,4276,ok
seg_068_p12_b127,12,yaw_spinner,127,2026-05-28T04:24:38.925Z,2026-05-28T04:24:44.182Z,794050,799350,4288,4340,ok
seg_069_p12_b159,12,yaw_spinner,159,2026-05-28T04:24:45.315Z,2026-05-28T04:24:50.561Z,800450,805650,4352,4403,ok
seg_070_p12_b191,12,yaw_spinner,191,2026-05-28T04:24:51.681Z,2026-05-28T04:24:56.903Z,806850,812050,4416,4467,ok
seg_071_p12_b223,12,yaw_spinner,223,2026-05-28T04:24:58.033Z,2026-05-28T04:25:03.283Z,813150,818450,4479,4531,ok
seg_072_p12_b255,12,yaw_spinner,255,2026-05-28T04:25:04.454Z,2026-05-28T04:25:09.699Z,819550,824850,4543,4595,ok
seg_073_p13_b095,13,yaw_spinner_circle,95,2026-05-28T04:25:10.791Z,2026-05-28T04:25:16.038Z,825950,831150,4607,4658,ok
seg_074_p13_b127,13,yaw_spinner_circle,127,2026-05-28T04:25:17.204Z,2026-05-28T04:25:22.454Z,832350,837550,4671,4722,ok
seg_075_p13_b159,13,yaw_spinner_circle,159,2026-05-28T04:25:23.582Z,2026-05-28T04:25:28.829Z,838750,843950,4735,4786,ok
seg_076_p13_b191,13,yaw_spinner_circle,191,2026-05-28T04:25:29.957Z,2026-05-28T04:25:35.206Z,845050,850350,4798,4850,ok
seg_077_p13_b223,13,yaw_spinner_circle,223,2026-05-28T04:25:36.371Z,2026-05-28T04:25:41.587Z,851450,856750,4862,4914,ok
seg_078_p13_b255,13,yaw_spinner_circle,255,2026-05-28T04:25:42.704Z,2026-05-28T04:25:47.900Z,857850,863050,4926,4977,ok
seg_079_p14_b095,14,runner_dual_inverted,95,2026-05-28T04:25:49.038Z,2026-05-28T04:25:54.283Z,864150,869450,4989,5041,ok
seg_080_p14_b127,14,runner_dual_inverted,127,2026-05-28T04:25:55.434Z,2026-05-28T04:26:00.684Z,870550,875850,5053,5105,ok
seg_081_p14_b159,14,runner_dual_inverted,159,2026-05-28T04:26:01.785Z,2026-05-28T04:26:06.984Z,876950,882150,5117,5168,ok
seg_082_p14_b191,14,runner_dual_inverted,191,2026-05-28T04:26:08.117Z,2026-05-28T04:26:13.366Z,883250,888450,5180,5231,ok
seg_083_p14_b223,14,runner_dual_inverted,223,2026-05-28T04:26:14.506Z,2026-05-28T04:26:19.755Z,889650,894850,5244,5295,ok
seg_084_p14_b255,14,runner_dual_inverted,255,2026-05-28T04:26:20.896Z,2026-05-28T04:26:26.070Z,896050,901150,5308,5358,ok
seg_085_p15_b095,15,palette_beat_motion,95,2026-05-28T04:26:27.158Z,2026-05-28T04:26:32.394Z,902250,907550,5370,5422,ok
