segment_id,pattern_id,pattern_name,brightness,samples,duration_s,avg_voltage_v,avg_current_ma,median_current_ma,min_current_ma,max_current_ma,avg_power_w,max_power_w,consumed_mah,consumed_wh,status
seg_001_p01_b095,1,rainbow,95,52,5.187,4.0322,180.649,180.000,178.750,182.500,0.7284,0.7359,0.260938,0.001052,ok
seg_002_p01_b127,1,rainbow,127,51,5.086,4.0191,215.392,215.000,213.750,218.750,0.8657,0.8791,0.305139,0.001226,ok
seg_003_p01_b159,1,rainbow,159,53,5.229,4.0057,247.995,247.500,246.250,251.250,0.9934,1.0066,0.365104,0.001462,ok
seg_004_p01_b191,1,rainbow,191,52,5.113,3.9917,280.096,280.000,278.750,283.750,1.1181,1.1325,0.404583,0.001615,ok
seg_005_p01_b223,1,rainbow,223,51,5.115,3.9777,310.564,310.000,308.750,313.750,1.2353,1.2479,0.439965,0.001750,ok
seg_006_p01_b255,1,rainbow,255,51,5.070,3.9636,340.539,340.000,338.750,345.000,1.3498,1.3675,0.482431,0.001912,ok
seg_007_p02_b095,2,full_color,95,53,5.237,4.0228,159.080,158.750,157.500,161.250,0.6400,0.6484,0.234201,0.000942,ok
seg_008_p02_b127,2,full_color,127,52,5.123,4.0150,187.981,187.500,186.250,190.000,0.7547,0.7628,0.271528,0.001090,ok
seg_009_p02_b159,2,full_color,159,51,5.104,4.0050,215.956,216.250,213.750,223.750,0.8649,0.8953,0.305937,0.001225,ok
seg_010_p02_b191,2,full_color,191,50,4.954,3.9944,243.750,243.750,242.500,245.000,0.9737,0.9788,0.338542,0.001352,ok
seg_011_p02_b223,2,full_color,223,52,5.123,3.9836,269.615,268.750,268.750,271.250,1.0740,1.0809,0.389444,0.001551,ok
seg_012_p02_b255,2,full_color,255,52,5.100,3.9722,295.385,295.000,293.750,297.500,1.1733,1.1818,0.426667,0.001695,ok
seg_013_p03_b095,3,motion_brightness,95,51,5.077,4.0377,98.652,98.750,97.500,100.000,0.3983,0.4039,0.139757,0.000564,ok
seg_014_p03_b127,3,motion_brightness,127,52,5.150,4.0410,98.798,98.750,97.500,101.250,0.3992,0.4090,0.142708,0.000577,ok
seg_015_p03_b159,3,motion_brightness,159,52,5.111,4.0432,98.822,98.750,97.500,100.000,0.3995,0.4042,0.142743,0.000577,ok
seg_016_p03_b191,3,motion_brightness,191,52,5.100,4.0445,99.014,98.750,97.500,100.000,0.4005,0.4044,0.143021,0.000578,ok
seg_017_p03_b223,3,motion_brightness,223,51,5.074,4.0458,98.799,98.750,97.500,100.000,0.3997,0.4045,0.139965,0.000566,ok
seg_018_p03_b255,3,motion_brightness,255,52,5.145,4.0467,99.038,98.750,97.500,100.000,0.4008,0.4046,0.143056,0.000579,ok
seg_019_p04_b095,4,runner_fixed,95,52,5.134,4.0534,81.010,81.250,80.000,82.500,0.3284,0.3343,0.117014,0.000474,ok
seg_020_p04_b127,4,runner_fixed,127,53,5.200,4.0534,84.552,85.000,83.750,86.250,0.3427,0.3495,0.124479,0.000505,ok
seg_021_p04_b159,4,runner_fixed,159,51,5.068,4.0528,88.186,87.500,86.250,90.000,0.3574,0.3647,0.124931,0.000506,ok
seg_022_p04_b191,4,runner_fixed,191,52,5.155,4.0521,91.995,92.500,90.000,93.750,0.3728,0.3798,0.132882,0.000538,ok
seg_023_p04_b223,4,runner_fixed,223,53,5.220,4.0509,95.542,95.000,93.750,97.500,0.3870,0.3950,0.140660,0.000570,ok
seg_024_p04_b255,4,runner_fixed,255,52,5.100,4.0499,99.327,98.750,97.500,101.250,0.4022,0.4101,0.143472,0.000581,ok
seg_025_p05_b095,5,runner_reactive,95,52,5.181,4.0534,89.062,88.750,87.500,90.000,0.3610,0.3648,0.128646,0.000521,ok
seg_026_p05_b127,5,runner_reactive,127,52,5.146,4.0513,95.433,95.000,92.500,97.500,0.3866,0.3950,0.137847,0.000558,ok
seg_027_p05_b159,5,runner_reactive,159,52,5.118,4.0488,102.163,102.500,98.750,103.750,0.4136,0.4201,0.147569,0.000597,ok
seg_028_p05_b191,5,runner_reactive,191,50,5.097,4.0464,108.625,108.750,103.750,110.000,0.4395,0.4451,0.150868,0.000610,ok
seg_029_p05_b223,5,runner_reactive,223,52,5.171,4.0439,114.856,115.000,108.750,116.250,0.4644,0.4701,0.165903,0.000671,ok
seg_030_p05_b255,5,runner_reactive,255,52,5.152,4.0413,121.202,121.250,116.250,122.500,0.4898,0.4951,0.175069,0.000708,ok
seg_031_p06_b095,6,runner_dual,95,52,5.130,4.0508,91.538,91.250,90.000,93.750,0.3708,0.3797,0.132222,0.000536,ok
seg_032_p06_b127,6,runner_dual,127,51,5.096,4.0485,98.848,98.750,96.250,100.000,0.4002,0.4049,0.140035,0.000567,ok
seg_033_p06_b159,6,runner_dual,159,52,5.100,4.0459,105.986,106.250,102.500,107.500,0.4288,0.4348,0.153090,0.000619,ok
seg_034_p06_b191,6,runner_dual,191,53,5.200,4.0427,113.255,113.750,108.750,115.000,0.4578,0.4649,0.166736,0.000674,ok
seg_035_p06_b223,6,runner_dual,223,52,5.100,4.0401,120.409,120.000,115.000,122.500,0.4865,0.4949,0.173924,0.000703,ok
