average_current_ma
pattern_id,pattern_name,b95,b127,b159,b191,b223,b255
1,rainbow,180.649,215.392,247.995,280.096,310.564,340.539
2,full_color,159.080,187.981,215.956,243.750,269.615,295.385
3,motion_brightness,98.652,98.798,98.822,99.014,98.799,99.038
4,runner_fixed,81.010,84.552,88.186,91.995,95.542,99.327
5,runner_reactive,89.062,95.433,102.163,108.625,114.856,121.202
6,runner_dual,91.538,98.848,105.986,113.255,120.409,127.099
7,heartbeat,79.447,82.404,85.259,88.702,91.683,95.000
8,ping_pong,78.750,81.394,84.175,87.005,89.712,92.716
9,comet_swarm,89.811,96.745,103.029,109.279,116.038,122.877
10,breath_storm,87.594,94.033,99.741,105.553,111.910,118.066
11,jerk_wave,70.361,73.365,70.307,70.425,70.385,70.330
12,yaw_spinner,77.429,80.189,84.207,87.043,91.321,90.849
13,yaw_spinner_circle,78.726,80.601,84.712,88.962,89.245,89.663
14,runner_dual_inverted,90.165,98.491,105.385,112.428,119.567,126.667
15,palette_beat_motion,78.137,102.476,138.942,181.054,209.505,228.413
16,pacifica_kite,86.731,92.901,98.413,104.080,110.000,116.675
17,twinkle_motion,78.585,81.442,85.625,87.807,91.707,95.938
18,fire_jet,99.038,107.692,118.538,129.363,133.750,144.760
19,noise_ring,89.670,96.971,103.231,109.882,116.418,123.654
20,pride_yaw,132.099,153.608,173.510,193.255,212.712,232.428
21,confetti_jerk,72.668,73.278,73.821,74.953,76.274,76.010
22,center_ripple,70.144,70.118,70.142,70.216,106.466,107.146

average_power_w
pattern_id,pattern_name,b95,b127,b159,b191,b223,b255
1,rainbow,0.7284,0.8657,0.9934,1.1181,1.2353,1.3498
2,full_color,0.6400,0.7547,0.8649,0.9737,1.0740,1.1733
3,motion_brightness,0.3983,0.3992,0.3995,0.4005,0.3997,0.4008
4,runner_fixed,0.3284,0.3427,0.3574,0.3728,0.3870,0.4022
5,runner_reactive,0.3610,0.3866,0.4136,0.4395,0.4644,0.4898
6,runner_dual,0.3708,0.4002,0.4288,0.4578,0.4865,0.5131
7,heartbeat,0.3219,0.3339,0.3454,0.3592,0.3711,0.3844
8,ping_pong,0.3192,0.3298,0.3410,0.3524,0.3632,0.3752
9,comet_swarm,0.3635,0.3913,0.4165,0.4415,0.4684,0.4956
10,breath_storm,0.3542,0.3800,0.4028,0.4259,0.4511,0.4755
11,jerk_wave,0.2848,0.2969,0.2847,0.2852,0.2850,0.2848
12,yaw_spinner,0.3134,0.3245,0.3406,0.3519,0.3690,0.3671
13,yaw_spinner_circle,0.3184,0.3260,0.3425,0.3595,0.3605,0.3622
14,runner_dual_inverted,0.3642,0.3975,0.4250,0.4531,0.4814,0.5096
15,palette_beat_motion,0.3156,0.4131,0.5582,0.7245,0.8356,0.9089
16,pacifica_kite,0.3492,0.3740,0.3960,0.4186,0.4423,0.4688
17,twinkle_motion,0.3168,0.3283,0.3450,0.3538,0.3694,0.3862
18,fire_jet,0.3985,0.4329,0.4760,0.5188,0.5360,0.5792
19,noise_ring,0.3607,0.3899,0.4148,0.4413,0.4672,0.4958
20,pride_yaw,0.5293,0.6142,0.6924,0.7695,0.8452,0.9215
21,confetti_jerk,0.2919,0.2945,0.2968,0.3014,0.3067,0.3057
22,center_ripple,0.2823,0.2822,0.2823,0.2826,0.4266,0.4292

ranking_current_ma
brightness,rank_low_to_high,pattern_id,pattern_name,avg_current_ma
95,1,22,center_ripple,70.144
95,2,11,jerk_wave,70.361
95,3,21,confetti_jerk,72.668
95,4,12,yaw_spinner,77.429
95,5,15,palette_beat_motion,78.137
95,6,17,twinkle_motion,78.585
95,7,13,yaw_spinner_circle,78.726
95,8,8,ping_pong,78.750
95,9,7,heartbeat,79.447
95,10,4,runner_fixed,81.010
95,11,16,pacifica_kite,86.731
95,12,10,breath_storm,87.594
95,13,5,runner_reactive,89.062
95,14,19,noise_ring,89.670
95,15,9,comet_swarm,89.811
95,16,14,runner_dual_inverted,90.165
95,17,6,runner_dual,91.538
95,18,3,motion_brightness,98.652
95,19,18,fire_jet,99.038
95,20,20,pride_yaw,132.099
95,21,2,full_color,159.080
95,22,1,rainbow,180.649
127,1,22,center_ripple,70.118
127,2,21,confetti_jerk,73.278
127,3,11,jerk_wave,73.365
127,4,12,yaw_spinner,80.189
127,5,13,yaw_spinner_circle,80.601
127,6,8,ping_pong,81.394
127,7,17,twinkle_motion,81.442
127,8,7,heartbeat,82.404
127,9,4,runner_fixed,84.552
127,10,16,pacifica_kite,92.901
127,11,10,breath_storm,94.033
127,12,5,runner_reactive,95.433
127,13,9,comet_swarm,96.745
127,14,19,noise_ring,96.971
127,15,14,runner_dual_inverted,98.491
127,16,3,motion_brightness,98.798
127,17,6,runner_dual,98.848
127,18,15,palette_beat_motion,102.476
127,19,18,fire_jet,107.692
127,20,20,pride_yaw,153.608
127,21,2,full_color,187.981
127,22,1,rainbow,215.392
159,1,22,center_ripple,70.142
159,2,11,jerk_wave,70.307
159,3,21,confetti_jerk,73.821
159,4,8,ping_pong,84.175
159,5,12,yaw_spinner,84.207
159,6,13,yaw_spinner_circle,84.712
159,7,7,heartbeat,85.259
159,8,17,twinkle_motion,85.625
159,9,4,runner_fixed,88.186
159,10,16,pacifica_kite,98.413
159,11,3,motion_brightness,98.822
159,12,10,breath_storm,99.741
159,13,5,runner_reactive,102.163
159,14,9,comet_swarm,103.029
159,15,19,noise_ring,103.231
159,16,14,runner_dual_inverted,105.385
159,17,6,runner_dual,105.986
159,18,18,fire_jet,118.538
159,19,15,palette_beat_motion,138.942
159,20,20,pride_yaw,173.510
159,21,2,full_color,215.956
159,22,1,rainbow,247.995
191,1,22,center_ripple,70.216
191,2,11,jerk_wave,70.425
191,3,21,confetti_jerk,74.953
191,4,8,ping_pong,87.005
191,5,12,yaw_spinner,87.043
191,6,17,twinkle_motion,87.807
191,7,7,heartbeat,88.702
191,8,13,yaw_spinner_circle,88.962
191,9,4,runner_fixed,91.995
191,10,3,motion_brightness,99.014
191,11,16,pacifica_kite,104.080
191,12,10,breath_storm,105.553
191,13,5,runner_reactive,108.625
191,14,9,comet_swarm,109.279
191,15,19,noise_ring,109.882
191,16,14,runner_dual_inverted,112.428
191,17,6,runner_dual,113.255
191,18,18,fire_jet,129.363
191,19,15,palette_beat_motion,181.054
191,20,20,pride_yaw,193.255
191,21,2,full_color,243.750
191,22,1,rainbow,280.096
223,1,11,jerk_wave,70.385
223,2,21,confetti_jerk,76.274
223,3,13,yaw_spinner_circle,89.245
223,4,8,ping_pong,89.712
223,5,12,yaw_spinner,91.321
223,6,7,heartbeat,91.683
223,7,17,twinkle_motion,91.707
223,8,4,runner_fixed,95.542
223,9,3,motion_brightness,98.799
223,10,22,center_ripple,106.466
223,11,16,pacifica_kite,110.000
